X, Y, Z, Thresh, Prec, Max, Min, Total Steps 
-187, -88, 136, 134, 23, 320, -51, 0
-185, -77, 130, 134, 23, 320, -51, 0
-186, -72, 120, 134, 23, 320, -51, 0
-190, -71, 108, 134, 23, 320, -51, 0
-198, -70, 97, 134, 23, 320, -51, 0
-208, -71, 88, 134, 23, 320, -51, 0
-223, -75, 81, 134, 23, 320, -51, 0
-243, -81, 75, 134, 23, 320, -51, 0
-262, -89, 69, 134, 23, 320, -51, 0
-274, -99, 64, 134, 23, 320, -51, 0
-275, -110, 60, 134, 23, 320, -51, 0
-261, -120, 55, 134, 23, 320, -51, 0
-242, -124, 52, 134, 23, 320, -51, 0
-224, -119, 44, 134, 23, 320, -51, 0
-213, -106, 23, 134, 23, 320, -51, 0
-211, -89, -7, 134, 23, 320, -51, 0
-212, -69, -37, 134, 23, 320, -51, 0
-213, -51, -51, 134, 23, 320, -51, 0
-210, -41, -45, 134, 23, 320, -51, 0
-204, -41, -27, 134, 23, 320, -51, 0
-198, -47, -6, 134, 23, 320, -51, 0
-195, -56, 13, 134, 23, 320, -51, 0
-198, -65, 38, 134, 23, 320, -51, 0
-205, -72, 75, 134, 23, 320, -51, 0
-213, -83, 128, 134, 23, 320, -51, 0
-217, -92, 181, 134, 23, 320, -51, 0
-217, -90, 211, 134, 23, 320, -51, 0
-218, -74, 213, 134, 23, 320, -51, 0
-216, -42, 196, 134, 23, 320, -51, 0
-214, -7, 171, 134, 23, 320, -51, 0
-208, 16, 151, 134, 23, 320, -51, 0
-195, 27, 135, 134, 23, 320, -51, 0
-183, 29, 115, 134, 23, 320, -51, 0
-177, 26, 96, 134, 23, 320, -51, 0
-179, 21, 89, 134, 23, 320, -51, 0
-187, 10, 100, 134, 23, 320, -51, 0
-194, -7, 127, 134, 23, 320, -51, 0
-198, -28, 154, 134, 23, 320, -51, 0
-198, -44, 175, 134, 23, 320, -51, 0
-193, -54, 189, 134, 23, 320, -51, 0
-187, -50, 190, 134, 23, 320, -51, 0
-179, -35, 184, 134, 23, 320, -51, 0
-167, -19, 178, 134, 23, 320, -51, 0
-152, -11, 177, 134, 23, 320, -51, 0
-135, -17, 187, 134, 23, 320, -51, 0
-122, -36, 208, 134, 23, 320, -51, 0
-123, -57, 235, 134, 23, 320, -51, 0
-140, -75, 267, 134, 23, 320, -51, 0
-176, -95, 297, 134, 23, 320, -51, 0
-221, -114, 317, 134, 23, 320, -51, 0
-264, -134, 320, 134, 23, 320, -51, 0
-299, -156, 305, 134, 23, 320, -51, 0
-326, -172, 279, 134, 23, 320, -51, 0
-342, -181, 249, 134, 23, 320, -51, 0
-348, -185, 219, 134, 23, 320, -51, 0
-339, -181, 189, 134, 23, 320, -51, 0
