X,Y,Z
-80,75,-179
-80,178,-213
-83,215,-205
-77,151,-188
-66,90,-193
-83,-7,-173
-186,-73,-21
-405,-81,216
-425,-130,511
-396,-314,511
-408,-106,511
-312,128,511
-136,165,461
-47,204,242
11,146,142
110,86,99
138,75,69
127,70,31
88,42,46
94,17,52
117,-29,82
137,-43,114
129,-12,133
97,10,203
58,57,293
32,1,325
38,-109,388
29,-151,446
-20,-192,462
-99,-249,511
-199,-287,511
-278,-300,511
-289,-287,511
-223,-245,358
-148,-169,191
-91,-81,82
-59,-28,28
-31,-16,-5
-16,-8,-35
-4,-7,-69
-7,-36,-76
-30,-49,-58
-63,22,-74
-69,72,-106
-103,70,-133
-132,22,-139
-171,-33,-94
-206,-75,-19
-205,-76,42
-264,-104,206
-278,-171,511
-253,-194,511
-218,-220,511
-153,-136,511
-78,1,435
-39,86,281
-5,99,164
8,96,101
-50,79,83
-54,58,180
-1,45,274
38,30,258
74,28,213
100,22,167
100,14,123
113,15,115
114,16,187
89,-12,268
74,-37,337
43,-43,392
13,-39,492
-26,-69,511
-177,-37,511
-249,-56,511
-259,-96,478
-241,-88,334
-166,-58,223
-88,-46,152
-34,-47,110
-2,-44,41
1,-28,-19
-17,-14,-36
-39,-7,-43
-47,-8,-40
-63,-14,-39
-92,-46,-54
-130,-63,-99
-129,-48,-149
-118,-37,-196
-110,-60,-199
-129,-76,-162
-251,-32,32
-243,1,437
-270,21,511
-280,127,511
-183,210,511
-103,239,511
-69,198,441
-26,129,255
-22,102,147
-37,94,88
-14,88,58
-56,154,69
-59,207,100
58,202,105
61,94,40
24,-17,13
76,-8,98
122,17,251
143,-14,351
134,-31,401
183,-75,434
186,-166,482
98,-325,497
-192,-343,511
-431,-315,511
-408,-200,511
-319,-118,459
-232,-75,234
-177,18,97
-134,-15,52
-75,-79,62
-44,-106,59
-53,-72,11
-69,-11,-60
-101,50,-119
-129,56,-135
-152,63,-106
-163,69,-87
-141,53,-64
-126,9,-51
-103,-41,-24
-149,-102,81
-134,-215,267
-133,-280,458
-229,-162,511
-218,-42,511
-135,25,480
-27,19,313
34,1,302
69,-49,300
65,-34,307
71,28,332
93,23,337
62,-21,279
34,18,127
57,72,21
107,112,27
111,76,124
71,43,281
7,31,430
-14,27,493
-3,3,511
8,-131,511
-37,-208,511
-81,-247,511
-126,-193,454
-131,-96,333
-85,-19,230
-13,1,154
22,9,66
-5,2,-20
-46,-39,-49
-70,-92,-54
-79,-127,-57
-87,-106,-43
-107,-68,-45
-136,-18,-64
-148,23,-93
-153,43,-113
-185,0,-123
-194,-65,-106
-195,-92,-116
-201,-87,-159
-233,-122,-128
-422,-174,193
-512,-154,511
-512,-64,511
-441,3,511
-278,72,511
-177,110,386
-110,127,297
-35,142,249
-33,115,192
-2,91,139
64,72,114
118,27,135
147,-23,184
165,-46,252
129,-36,318
97,-12,319
38,5,298
-68,-5,370
-148,-63,449
-189,-117,511
-268,-143,511
-365,-168,511
-425,-161,511
-358,-114,377
-254,-77,234
-182,-38,164
-132,-59,86
-125,-79,74
-108,-69,0
-63,-36,-83
-15,-35,-121
-8,-58,-116
-9,-86,-108
-8,-78,-127
-23,-44,-156
-47,7,-178
-92,46,-173
-173,80,-142
-251,85,-81
-290,61,-8
-391,33,-68
-512,66,71
-512,79,511
-512,41,511
-249,39,511
-16,-5,511
100,20,511
139,57,448
170,22,308
186,-16,213
120,-29,170
135,-4,127
111,-23,93
118,-15,64
112,-9,52
119,12,46
121,5,60
127,-7,114
87,-27,180
57,-29,192
53,-37,200
90,-70,208
-16,-96,341
-136,-104,511
-267,-210,511
-385,-257,511
-365,-209,511
-303,-176,421
-219,-117,241
-150,-88,140
-107,-82,83
-72,-81,38
-42,-76,-19
-36,-54,-79
-42,-27,-130
-67,-5,-178
-100,16,-225
-136,36,-250
-175,47,-202
-218,24,-90
-223,18,20
-291,21,147
-329,-25,388
-312,-61,511
-251,-137,511
-193,-220,511
-99,-150,511
-48,-29,493
-13,65,327
1,129,280
16,111,266
61,45,235
111,0,196
131,-9,144
138,-13,102
137,5,71
169,-1,50
150,-21,46
114,6,176
122,46,290
114,-13,349
60,-59,421
12,-97,511
-97,-152,511
-210,-116,511
-285,-154,511
-294,-174,511
-245,-143,407
-200,-71,273
-154,-10,161
-125,4,89
-115,-6,126
-117,-20,195
-105,-32,247
-116,-35,194
-118,-24,51
-112,-40,-123
-55,-74,-239
-49,-83,-327
-37,-66,-359
-67,-65,-321
-90,-90,-267
-139,-69,-232
-237,-44,-164
-340,10,164
-457,30,511
-360,-37,511
-162,28,511
-49,148,511
30,167,511
59,187,335
65,167,185
92,106,128
97,127,78
49,131,60
75,170,123
70,125,106
98,30,79
144,1,76
137,22,127
