X,Y,Z
7833,-17409,8959
7424,-17409,8703
7680,-18433,9215
7680,-19457,9471
7936,-19457,9727
7936,-19457,9727
7936,-19457,10495
8448,-19713,10495
7936,-19713,10495
7936,-19713,9983
7680,-19969,10239
7680,-19713,9983
7424,-19457,9983
7424,-19457,10239
7680,-19457,10751
7680,-18945,10495
7168,-18433,9983
6144,-18433,9983
6656,-18945,9983
7680,-18945,9727
8192,-18945,9215
7424,-19969,9471
6656,-19969,9727
7168,-19969,11007
8704,-19201,12287
-220,-69,48
-222,-66,47
-223,-68,44
-228,-77,41
-231,-81,39
-233,-87,37
-230,-90,38
-225,-96,39
-216,-61,35
-231,-62,39
-232,-63,41
-232,-64,45
-232,-67,43
-230,-67,42
-231,-67,39
-231,-66,37
-230,-65,35
-227,-65,35
-227,-68,33
-226,-68,31
-226,-70,33
-227,-71,33
-225,-71,37
-224,-71,38
-227,-70,38
7833,-17409,8959
7424,-17409,8703
7680,-18433,9215
7680,-19457,9471
7936,-19457,9727
7936,-19457,9727
7936,-19457,10495
8448,-19713,10495
7936,-19713,10495
7936,-19713,9983
7680,-19969,10239
7680,-19713,9983
7424,-19457,9983
7424,-19457,10239
7680,-19457,10751
7680,-18945,10495
7168,-18433,9983
6144,-18433,9983
6656,-18945,9983
7680,-18945,9727
8192,-18945,9215
7424,-19969,9471
6656,-19969,9727
7168,-19969,11007
8704,-19201,12287
-220,-69,48
-222,-66,47
-223,-68,44
-228,-77,41
-231,-81,39
-233,-87,37
-230,-90,38
-225,-96,39
-216,-61,35
-231,-62,39
-232,-63,41
-232,-64,45
-232,-67,43
-230,-67,42
-231,-67,39
-231,-66,37
-230,-65,35
-227,-65,35
-227,-68,33
-226,-68,31
-226,-70,33
-227,-71,33
-225,-71,37
-224,-71,38
-227,-70,38
-228,-70,40
-229,-70,38
-229,-72,35
-228,-73,32
-228,-77,31
-226,-79,28
-225,-79,31
-225,-76,30
-226,-74,31
-227,-71,33
-227,-71,35
-227,-69,37
-228,-68,39
-229,-66,40
-233,-64,44
-232,-64,47
-231,-64,44
-232,-65,45
-231,-64,42
-231,-64,39
-231,-65,39
-232,-67,38
-231,-67,39
-231,-71,37
-229,-71,37
7833,-17409,8959
7424,-17409,8703
7680,-18433,9215
7680,-19457,9471
7936,-19457,9727
7936,-19457,9727
7936,-19457,10495
8448,-19713,10495
7936,-19713,10495
7936,-19713,9983
7680,-19969,10239
7680,-19713,9983
7424,-19457,9983
7424,-19457,10239
7680,-19457,10751
7680,-18945,10495
7168,-18433,9983
6144,-18433,9983
6656,-18945,9983
7680,-18945,9727
8192,-18945,9215
7424,-19969,9471
6656,-19969,9727
7168,-19969,11007
8704,-19201,12287
-220,-69,48
-222,-66,47
-223,-68,44
-228,-77,41
-231,-81,39
-233,-87,37
-230,-90,38
-225,-96,39
-216,-61,35
-231,-62,39
-232,-63,41
-232,-64,45
-232,-67,43
-230,-67,42
-231,-67,39
-231,-66,37
-230,-65,35
-227,-65,35
-227,-68,33
-226,-68,31
-226,-70,33
-227,-71,33
-225,-71,37
-224,-71,38
-227,-70,38
-228,-70,40
-229,-70,38
-229,-72,35
-228,-73,32
-228,-77,31
-226,-79,28
-225,-79,31
-225,-76,30
-226,-74,31
-227,-71,33
-227,-71,35
-227,-69,37
-228,-68,39
-229,-66,40
-233,-64,44
-232,-64,47
-231,-64,44
-232,-65,45
-231,-64,42
-231,-64,39
-231,-65,39
-232,-67,38
-231,-67,39
-231,-71,37
-229,-71,37
-228,-69,39
-227,-69,37
-227,-69,36
-226,-71,32
