X,Y,Z
-216,-122,-37
-218,-127,-33
-219,-128,-31
-217,-130,-29
-216,-129,-26
-215,-127,-23
-214,-125,-21
-210,-123,-19
-210,-124,-20
-210,-127,-21
-209,-134,-17
-200,-143,-1
-206,-138,6
-215,-127,22
-213,-138,34
-197,-148,49
-187,-138,57
-198,-128,59
-204,-134,65
-185,-155,66
-182,-163,62
-185,-160,52
-186,-152,45
-192,-149,32
-193,-148,10
-192,-145,-12
-187,-143,-33
-183,-133,-27
-181,-129,-5
-184,-123,15
-204,-114,32
-219,-110,46
-223,-132,-29
-224,-129,-29
-224,-127,-24
-220,-125,-21
-219,-122,-19
-217,-117,-20
-216,-114,-21
-214,-113,-25
-214,-116,-27
-216,-119,-30
-217,-126,-31
-214,-130,-29
-211,-134,-27
-207,-136,-27
-206,-135,-25
-205,-134,-25
-203,-133,-24
-203,-132,-24
-202,-129,-24
-203,-130,-27
-205,-130,-26
-206,-130,-28
-208,-131,-26
-208,-134,-29
-206,-134,-28
-205,-135,-28
-204,-136,-30
-206,-136,-32
-207,-133,-33
-207,-130,-33
-208,-130,-36
-209,-128,-33
-211,-127,-36
-211,-126,-36
-214,-124,-36
-214,-123,-32
-214,-124,-31
-213,-124,-29
-213,-123,-31
-212,-121,-31
-211,-120,-32
-211,-118,-34
-213,-119,-34
-216,-122,-37
-218,-127,-33
-219,-128,-31
-217,-130,-29
-216,-129,-26
-215,-127,-23
-214,-125,-21
-210,-123,-19
-210,-124,-20
-210,-127,-21
-209,-134,-17
-200,-143,-1
-206,-138,6
-215,-127,22
-213,-138,34
-197,-148,49
-187,-138,57
-198,-128,59
-204,-134,65
-185,-155,66
-182,-163,62
-185,-160,52
-186,-152,45
-192,-149,32
-193,-148,10
-192,-145,-12
-187,-143,-33
-183,-133,-27
-181,-129,-5
-184,-123,15
-204,-114,32
-219,-110,46
-218,-116,56
-216,-117,64
-221,-109,65
-222,-101,60
-217,-91,55
-210,-89,52
-211,-88,43
-219,-98,30
-225,-111,18
-225,-113,13
-217,-120,7
-197,-125,-10
-191,-130,-34
-187,-136,-66
-188,-136,-90
-202,-130,-103
-216,-133,-98
-197,-147,-73
-164,-168,-59
-151,-186,-59
-166,-198,-76
-206,-206,-98
-245,-212,-98
-258,-212,-54
-274,-223,4
-314,-232,70
-341,-218,88
-364,-192,113
-394,-177,164
-393,-183,166
-383,-179,127
-381,-154,102
-402,-154,124
-384,-162,136
-305,-152,111
-214,-129,88
-137,-83,67
-78,-41,50
-22,-16,40
31,-1,27
70,4,21
87,25,9
110,44,15
113,50,24
88,22,51
41,-35,106
5,-75,167
-77,-142,191
-171,-235,208
-314,-340,231
-314,-232,70
-341,-218,88
-364,-192,113
-394,-177,164
-393,-183,166
-383,-179,127
-381,-154,102
-402,-154,124
-384,-162,136
-305,-152,111
-214,-129,88
-137,-83,67
-78,-41,50
-22,-16,40
31,-1,27
70,4,21
87,25,9
110,44,15
113,50,24
88,22,51
41,-35,106
5,-75,167
-77,-142,191
-171,-235,208
-314,-340,231
-433,-441,201
-512,-493,136
-512,-512,217
-512,-512,241
-512,-469,97
-413,-337,-1
-241,-243,-42
-83,-185,-55
23,-99,-111
19,23,-176
76,67,-191
56,62,-166
37,48,-123
13,27,-86
-3,26,-56
10,32,-25
-6,42,-44
-18,62,-67
-54,58,-88
-98,14,-70
-206,-20,-51
-421,-152,-21
-512,-342,112
-512,-435,327
-512,-512,384
-314,-232,70
-341,-218,88
-364,-192,113
-394,-177,164
-393,-183,166
-383,-179,127
-381,-154,102
-402,-154,124
-384,-162,136
-305,-152,111
-214,-129,88
-137,-83,67
-78,-41,50
-22,-16,40
31,-1,27
70,4,21
87,25,9
110,44,15
113,50,24
88,22,51
41,-35,106
5,-75,167
-77,-142,191
-171,-235,208
-314,-340,231
-433,-441,201
-512,-493,136
-512,-512,217
-512,-512,241
-512,-469,97
-413,-337,-1
-241,-243,-42
-83,-185,-55
23,-99,-111
19,23,-176
76,67,-191
56,62,-166
37,48,-123
13,27,-86
-3,26,-56
10,32,-25
-6,42,-44
-18,62,-67
-54,58,-88
-98,14,-70
-206,-20,-51
-421,-152,-21
-512,-342,112
-512,-435,327
-512,-512,384
-412,-512,367
-356,-346,265
-344,-195,152
-279,-123,114
-204,-95,142
-120,-54,174
-67,-35,152
-39,-30,125
17,-7,96
60,-10,65
105,0,55
128,-8,54
137,-5,73
141,-4,91
138,-15,103
121,-27,119
105,-43,132
51,-110,169
3,-190,265
-111,-265,390
-244,-375,511
-450,-481,511
-512,-512,511
-512,-505,451
-512,-413,188
-314,-232,70
-341,-218,88
-364,-192,113
-394,-177,164
-393,-183,166
-383,-179,127
-381,-154,102
-402,-154,124
-384,-162,136
-305,-152,111
-214,-129,88
-137,-83,67
-78,-41,50
-22,-16,40
31,-1,27
70,4,21
87,25,9
110,44,15
113,50,24
88,22,51
41,-35,106
5,-75,167
-77,-142,191
-171,-235,208
-314,-340,231
-433,-441,201
-512,-493,136
-512,-512,217
-512,-512,241
-512,-469,97
-413,-337,-1
-241,-243,-42
-83,-185,-55
23,-99,-111
19,23,-176
76,67,-191
56,62,-166
37,48,-123
13,27,-86
-3,26,-56
10,32,-25
-6,42,-44
-18,62,-67
-54,58,-88
-98,14,-70
-206,-20,-51
-421,-152,-21
-512,-342,112
-512,-435,327
-512,-512,384
-412,-512,367
-356,-346,265
-344,-195,152
-279,-123,114
-204,-95,142
-120,-54,174
-67,-35,152
-39,-30,125
17,-7,96
60,-10,65
105,0,55
128,-8,54
137,-5,73
141,-4,91
138,-15,103
121,-27,119
105,-43,132
51,-110,169
3,-190,265
-111,-265,390
-244,-375,511
-450,-481,511
-512,-512,511
-512,-505,451
-512,-413,188
-329,-353,46
-193,-262,-35
-139,-177,-58
-93,-102,-46
-66,-43,-24
-67,-10,17
-63,3,35
-47,-18,40
-40,-29,50
-51,8,51
-95,82,26
-110,127,-63
-76,111,-135
-18,39,-151
5,-30,-177
42,-34,-210
66,27,-262
5,36,-211
-233,-182,52
-512,-512,511
-512,-512,511
-512,-428,511
-259,-139,511
-198,-81,342
-118,6,278
-20,18,205
20,48,104
23,41,20
90,36,-7
127,-20,-19
156,-49,-6
154,-49,17
118,-43,34
96,-13,54
68,0,94
56,-19,122
48,-58,155
-5,-95,280
-105,-147,485
-166,-238,511
-352,-356,511
-475,-462,511
-444,-456,511
-336,-352,291
-241,-240,121
-175,-133,56
-135,-72,43
-95,-62,43
-49,-57,14
-38,-38,-37
-20,18,205
20,48,104
23,41,20
90,36,-7
127,-20,-19
156,-49,-6
154,-49,17
118,-43,34
96,-13,54
68,0,94
56,-19,122
48,-58,155
-5,-95,280
-105,-147,485
-166,-238,511
-352,-356,511
-475,-462,511
-444,-456,511
-336,-352,291
-241,-240,121
-175,-133,56
-135,-72,43
-95,-62,43
-49,-57,14
-38,-38,-37
-90,-16,-84
-115,-17,-67
-114,-3,-68
-59,28,-103
-2,60,-149
2,44,-203
-40,10,-254
-22,-25,-279
-13,17,-246
-116,-28,-95
-392,-214,365
-512,-379,511
-512,-512,511
-371,-429,511
-245,-172,511
-195,-58,359
-143,24,224
-98,5,167
-18,-4,120
22,-9,56
38,-11,11
65,4,-18
79,2,-34
103,3,-40
103,1,-45
-20,18,205
20,48,104
23,41,20
90,36,-7
127,-20,-19
156,-49,-6
154,-49,17
118,-43,34
96,-13,54
68,0,94
56,-19,122
48,-58,155
-5,-95,280
-105,-147,485
-166,-238,511
-352,-356,511
-475,-462,511
-444,-456,511
-336,-352,291
-241,-240,121
-175,-133,56
-135,-72,43
-95,-62,43
-49,-57,14
-38,-38,-37
-90,-16,-84
-115,-17,-67
-114,-3,-68
-59,28,-103
-2,60,-149
2,44,-203
-40,10,-254
-22,-25,-279
-13,17,-246
-116,-28,-95
-392,-214,365
-512,-379,511
-512,-512,511
-371,-429,511
-245,-172,511
-195,-58,359
-143,24,224
-98,5,167
-18,-4,120
22,-9,56
38,-11,11
65,4,-18
79,2,-34
103,3,-40
103,1,-45
98,0,-33
89,-11,-5
69,-34,48
35,-62,143
-37,-120,305
-33,-176,409
-25,-290,496
-76,-386,511
-218,-419,511
-379,-460,511
-505,-447,455
-423,-344,282
-336,-257,120
-274,-151,51
-239,-71,53
-183,-28,51
-96,-5,34
-52,9,6
-19,20,-19
10,50,-40
35,86,-65
40,101,-86
29,91,-94
4,59,-109
-34,26,-108
-20,18,205
20,48,104
23,41,20
90,36,-7
127,-20,-19
156,-49,-6
154,-49,17
118,-43,34
96,-13,54
68,0,94
56,-19,122
48,-58,155
-5,-95,280
-105,-147,485
-166,-238,511
-352,-356,511
-475,-462,511
-444,-456,511
-336,-352,291
-241,-240,121
-175,-133,56
-135,-72,43
-95,-62,43
-49,-57,14
-38,-38,-37
-90,-16,-84
-115,-17,-67
-114,-3,-68
-59,28,-103
-2,60,-149
2,44,-203
-40,10,-254
-22,-25,-279
-13,17,-246
-116,-28,-95
-392,-214,365
-512,-379,511
-512,-512,511
-371,-429,511
-245,-172,511
-195,-58,359
-143,24,224
-98,5,167
-18,-4,120
22,-9,56
38,-11,11
65,4,-18
79,2,-34
103,3,-40
103,1,-45
98,0,-33
89,-11,-5
69,-34,48
35,-62,143
-37,-120,305
-33,-176,409
-25,-290,496
-76,-386,511
-218,-419,511
-379,-460,511
-505,-447,455
-423,-344,282
-336,-257,120
-274,-151,51
-239,-71,53
-183,-28,51
-96,-5,34
-52,9,6
-19,20,-19
10,50,-40
35,86,-65
40,101,-86
29,91,-94
4,59,-109
-34,26,-108
-95,10,-97
-163,18,-25
-322,-31,32
-441,-252,229
-512,-461,511
-490,-512,511
-350,-512,511
-284,-271,452
-204,-66,247
-84,49,211
-33,-94,199
45,-46,157
56,0,119
78,23,101
51,4,81
63,61,68
59,41,42
82,31,37
101,5,63
113,-13,114
131,-26,162
153,-25,140
165,4,126
149,49,163
91,74,241
-193,-115,495
-466,-357,511
-512,-512,511
-419,-512,511
-330,-307,375
-231,-213,178
-155,-146,114
-147,-106,74
-81,-71,35
-40,-77,4
