X,Y,Z
56,20,36
77,22,42
89,23,45
96,28,49
92,33,47
92,33,38
91,25,33
78,17,35
65,15,45
52,29,55
38,45,64
6,59,65
-29,64,73
-55,65,84
-69,67,98
-64,61,109
-85,50,103
-110,33,101
-97,19,104
-74,18,101
-74,18,96
-77,15,98
-85,15,89
-85,12,77
-76,5,70
-68,-2,66
-57,-8,60
-41,-9,53
-17,-2,46
13,7,43
37,17,39
56,23,32
67,23,25
72,17,19
73,16,13
63,16,0
60,15,-12
48,9,-26
34,3,-37
22,2,-41
3,6,-44
-23,9,-44
-31,9,-41
-37,5,-45
-34,-4,-50
-28,-9,-49
-31,-1,-53
-27,5,-51
-16,6,-45
-8,3,-23
1,11,9
-4,26,29
-30,44,40
-53,52,28
-59,41,16
-47,21,18
-21,9,36
21,2,54
51,11,66
84,31,73
108,53,71
121,59,67
125,61,69
125,61,65
113,63,60
90,59,53
65,54,50
47,47,53
27,40,52
-1,39,51
-31,38,57
-52,36,61
-72,34,69
-81,26,82
-84,16,88
-124,12,80
-132,10,78
-110,23,78
-74,36,86
-57,46,95
-69,47,93
-74,46,80
-74,29,57
-65,12,44
-42,1,33
-11,-2,23
15,1,15
42,9,11
61,23,17
72,26,19
81,26,16
83,22,14
74,16,10
63,15,0
52,13,-12
38,6,-22
26,-2,-31
18,-9,-35
-2,-15,-40
-26,-19,-48
-51,-25,-57
-64,-38,-63
-56,-53,-60
-48,-63,-41
15,-58,-57
-71,-41,-29
-36,-26,-22
13,-18,-42
15,-3,-29
20,26,8
-8,54,53
-25,61,44
-46,48,33
-61,23,34
-25,2,47
-3,-9,62
35,-9,71
68,0,84
85,7,91
105,19,98
113,30,92
111,46,80
115,57,64
114,63,55
106,64,48
93,64,49
70,66,49
53,66,43
18,63,38
-18,56,37
-53,50,38
-74,43,48
-79,37,65
-117,30,63
-120,15,66
-108,6,67
-86,13,65
-82,21,68
-95,25,71
-111,23,65
-105,13,50
-82,3,39
-68,-4,32
-44,-2,27
-15,5,24
17,11,26
47,10,33
73,7,29
94,8,22
99,12,14
